[[{'duration': 3.48, 'start': 0.04, 'text': '안녕하세요. 조코딩입니다. 바이브'},
  {'duration': 4.64, 'start': 105.24, 'text': '되어 있고요. 편집본 내용 중에서도'},
  {'duration': 4.159, 'start': 107.6, 'text': '일부 내용은 이렇게 멤버십 전용으로'},
  {'duration': 4.279, 'start': 109.88, 'text': '공개를 해 두었으니 모든 내용을'},
  {'duration': 3.561, 'start': 111.759, 'text': '완벽하게 배우고 싶으시다면 멤버십'},
  {'duration': 2.841, 'start': 114.159, 'text': '가입도 해 주시면 정말'},
  {'duration': 3.799, 'start': 115.32, 'text': '감사드리겠습니다. 그러면 강의'},
  {'duration': 4.119, 'start': 117.0, 'text': '시작하겠습니다. 바이브 코딩 1인'},
  {'duration': 3.721, 'start': 119.119, 'text': '창업가 부트 캠프를 진행해 보도록'},
  {'duration': 3.401, 'start': 121.119, 'text': '하겠습니다. 1주차에는 뭘 배울'},
  {'duration': 4.0, 'start': 122.84, 'text': '건가? 꽤 많은 양을 배울 겁니다.'},
  {'duration': 3.92, 'start': 124.52, 'text': '일단 개요. 왜 지금 1인 프로덕트'},
  {'duration': 2.839, 'start': 126.84, 'text': '빌더의 시대인가? 왜 지금 이걸'},
  {'duration': 3.04, 'start': 128.44, 'text': '하는가에 대해서 좀 다뤄 보려고'},
  {'duration': 3.64, 'start': 129.679, 'text': '하고요. 그다음에 IT 프로덕 우리가'},
  {'duration': 3.759, 'start': 131.48, 'text': '만들 거기 때문에 그런 좀 큰 구조'},
  {'duration': 3.64, 'start': 133.319, 'text': '어떻게 생겼나 이런 큰 그림에서 보고'},
  {'duration': 3.72, 'start': 135.239, 'text': '그걸 세부적으로 하나씩 공부를 하려고'},
  {'duration': 3.28, 'start': 136.959, 'text': '합니다. 그다음에 웹 개발을 먼저'},
  {'duration': 3.321, 'start': 138.959, 'text': '시작을 할 겁니다. 사실 IT'},
  {'duration': 4.041, 'start': 140.239, 'text': '프로덕이라 하면은 뭐 게임도 있고'},
  {'duration': 4.0, 'start': 142.28, 'text': '웹도 있고 앱도 있고 뭐 만들 수도'},
  {'duration': 3.36, 'start': 144.28, 'text': '있는데 그중에 가장 쉬운 웹을 할'},
  {'duration': 2.959, 'start': 146.28, 'text': '겁니다. 당연히 AI와 함께 할'},
  {'duration': 3.64, 'start': 147.64, 'text': '거고요. 네. 그다음에 배포해 가지고'},
  {'duration': 3.481, 'start': 149.239, 'text': '실제로 전 세계 누구나 쓸 수 있게'},
  {'duration': 3.4, 'start': 151.28, 'text': '공개를 할 거고요. 그다음에 이제'},
  {'duration': 3.519, 'start': 152.72, 'text': '외부 서비스 활용하는 거를 이번 주는'},
  {'duration': 3.52, 'start': 154.68, 'text': '해 볼 겁니다. 왜냐면 1주차부터 막'},
  {'duration': 3.841, 'start': 156.239, 'text': '모든 걸 직접 만들기에는 좀 품이'},
  {'duration': 4.119, 'start': 158.2, 'text': '많이 들어서 외부 서비스를 연결해'},
  {'duration': 4.239, 'start': 160.08, 'text': '가지고 데이터베이스를 연결해서 폼'},
  {'duration': 3.961, 'start': 162.319, 'text': '제출 이런 거 받는다거나 댓글 기능을'},
  {'duration': 4.081, 'start': 164.319, 'text': '구현해서 사람들이 댓글을 쓸 수 있게'},
  {'duration': 4.08, 'start': 166.28, 'text': '만든다거나 아니면 AI 기능을 붙여'},
  {'duration': 3.68, 'start': 168.4, 'text': '가지고 내 사이트에서 이제 AI가'},
  {'duration': 3.2, 'start': 170.36, 'text': '돌아가게 약간 요런 것들을 한번'},
  {'duration': 3.4, 'start': 172.08, 'text': '활용해서 붙여 볼 예정입니다.'},
  {'duration': 3.64, 'start': 173.56, 'text': '그다음에 이제 가장 중요한 거 광고'},
  {'duration': 3.56, 'start': 175.48, 'text': '수익화까지 하면서 끝내 보도록'},
  {'duration': 3.28, 'start': 177.2, 'text': '하겠습니다. 돈을 못 벌면 사실 요걸'},
  {'duration': 3.04, 'start': 179.04, 'text': '만들어서 뭐 하나라는 생각이 들 수'},
  {'duration': 3.72, 'start': 180.48, 'text': '있잖아요. 실제 수익과 연결될 수'},
  {'duration': 3.96, 'start': 182.08, 'text': '있도록 광고 수익화까지 만들어 보도록'},
  {'duration': 4.039, 'start': 184.2, 'text': '하겠습니다. 그러면 가장 중요한 1번'},
  {'duration': 3.88, 'start': 186.04, 'text': '왜 지금 AI 프로덕트 빌더 시대인가'},
  {'duration': 3.72, 'start': 188.239, 'text': '소개를 드리도록 하겠습니다. 채'},
  {'duration': 3.92, 'start': 189.92, 'text': 'GPT를 만든 오픈 AI CEO 샘'},
  {'duration': 4.441, 'start': 191.959, 'text': '알트만이 이런 말을 남겼죠. 조만간'},
  {'duration': 4.24, 'start': 193.84, 'text': '한 명이 운영하는 1조원 가치 기업이'},
  {'duration': 3.559, 'start': 196.4, 'text': '나온다. 언급을 한게 굉장히 화제가'},
  {'duration': 3.519, 'start': 198.08, 'text': '많이 됐는데요. 실제로 그런 시대가'},
  {'duration': 3.521, 'start': 199.959, 'text': '오고 있습니다. 오픈 에아에서 무슨'},
  {'duration': 4.2, 'start': 201.599, 'text': '모델 나왔고 구글에서 재미나이가 새로'},
  {'duration': 4.24, 'start': 203.48, 'text': '나왔고 뭐 나왔고 하면서 서로 경쟁을'},
  {'duration': 4.08, 'start': 205.799, 'text': '어마어마하게 하면서 AI가 빠르게'},
  {'duration': 3.599, 'start': 207.72, 'text': '발전하고 있다는 거는 모두가 느끼고'},
  {'duration': 3.64, 'start': 209.879, 'text': '계실 것 같습니다. 뭐 대표적으로'},
  {'duration': 3.601, 'start': 211.319, 'text': '이제 코딩이 얼마나 빨리 발전했나를'},
  {'duration': 2.961, 'start': 213.519, 'text': '중심으로 좀 보도록 하겠습니다.'},
  {'duration': 3.239, 'start': 214.92, 'text': '대표적인 사례를 하나 보여 드리면'},
  {'duration': 3.6, 'start': 216.48, 'text': '국제대학생 프로그래밍 대회'},
  {'duration': 4.08, 'start': 218.159, 'text': 'ICPC라는 대회가 있습니다. 굉장히'},
  {'duration': 3.6, 'start': 220.08, 'text': '어려운 알고리즘을 막 코딩으로 풀어야'},
  {'duration': 3.681, 'start': 222.239, 'text': '되는 그런 대학생 프로그래밍'},
  {'duration': 4.839, 'start': 223.68, 'text': '대회인데요. 이번에 2025년 가장'},
  {'duration': 5.039, 'start': 225.92, 'text': '최근 대회에서 1등한 팀이 총 12'},
  {'duration': 4.08, 'start': 228.519, 'text': '문제 중에서 11 문제를 풀어 가지고'},
  {'duration': 3.241, 'start': 230.959, 'text': '1등을 한 사건이 있었습니다. 네.'},
  {'duration': 3.84, 'start': 232.599, 'text': '이렇게 인간은 11 문제밖에 못'},
  {'duration': 4.879, 'start': 234.2, 'text': '풀었는데 이제 AI는 얼마나 풀었나?'},
  {'duration': 4.481, 'start': 236.439, 'text': '네. AI는 12 문제 맞췄습니다.'},
  {'duration': 3.921, 'start': 239.079, 'text': '오픈해할 모델이 모든 문제를 다'},
  {'duration': 3.84, 'start': 240.92, 'text': '맞췄고요. 심지어 여기 아래 보시면'},
  {'duration': 3.439, 'start': 243.0, 'text': '1트라이라고 돼 있죠. 인간은 막'},
  {'duration': 3.92, 'start': 244.76, 'text': '머리 싸매면서 막 알고리즘 짜면서'},
  {'duration': 4.321, 'start': 246.439, 'text': '수정하면서 엄청나게 결혼은이 대회를'},
  {'duration': 4.04, 'start': 248.68, 'text': 'AI는 1트라이만의 11 문제를'},
  {'duration': 3.92, 'start': 250.76, 'text': '해결했고 어려운 문제는 아홉 번의'},
  {'duration': 4.079, 'start': 252.72, 'text': '시도만에 맞춰 가지고 결국 12'},
  {'duration': 3.92, 'start': 254.68, 'text': '문제를 모두 맞춰서 이제는 인간을'},
  {'duration': 3.761, 'start': 256.799, 'text': '뛰어넘은 그런 모습을 보여주고'},
  {'duration': 3.72, 'start': 258.6, 'text': '있었습니다. 결국에 일단 AI가'},
  {'duration': 4.12, 'start': 260.56, 'text': '알고리즘 풀이 측면에서는 그래도'},
  {'duration': 3.76, 'start': 262.32, 'text': '인간을 뛰어넘었다라고 충분히 말을 할'},
  {'duration': 3.519, 'start': 264.68, 'text': '수 있을 것 같고요. 이제 AI는'},
  {'duration': 3.76, 'start': 266.08, 'text': '계속 발전하고 있기 때문에 금방 더'},
  {'duration': 3.881, 'start': 268.199, 'text': '뛰어나질 거는 너무 명확한 거'},
  {'duration': 4.68, 'start': 269.84, 'text': '같습니다. 엘파고와 이세돌 9단님의'},
  {'duration': 4.679, 'start': 272.08, 'text': '대결. 딱 이때의 대결에서 이세돌 님'},
  {'duration': 4.399, 'start': 274.52, 'text': '1승 하시고 알파고가 4승을 하면서'},
  {'duration': 4.561, 'start': 276.759, 'text': '이제 바둑은 이때 이후로 너무 더'},
  {'duration': 4.761, 'start': 278.919, 'text': '발전해 가지고 더 이상 인간이'},
  {'duration': 3.8, 'start': 281.32, 'text': 'AI한테 바둑을 이길 수 없는 시점이'},
  {'duration': 3.2, 'start': 283.68, 'text': '됐잖아요. 그런 말씀도 하시더라고요.'},
  {'duration': 3.359, 'start': 285.12, 'text': '바둑의 신이랑 진비 없다. 뭐 이런'},
  {'duration': 4.039, 'start': 286.88, 'text': '말씀을 해 주셨는데 그 정도로 이제'},
  {'duration': 4.481, 'start': 288.479, 'text': '인간과 AI의 실력 차이는 너무나'},
  {'duration': 3.641, 'start': 290.919, 'text': '아득해 가지고 인간은 AI를 이길 수'},
  {'duration': 3.679, 'start': 292.96, 'text': '없는 네. 그런 시점이 되었습니다.'},
  {'duration': 3.76, 'start': 294.56, 'text': '바둑 업계는. 근데 아마 모든 업계가'},
  {'duration': 3.161, 'start': 296.639, 'text': '똑같겠죠. 특히 뭐 코딩 업계는'},
  {'duration': 3.4, 'start': 298.32, 'text': '똑같이 될 날이 이제 머지 않은 거'},
  {'duration': 4.04, 'start': 299.8, 'text': '같습니다. 근데 이게 또 명확한게'},
  {'duration': 3.96, 'start': 301.72, 'text': '스케일링의 법칙이라고 해서 컴퓨팅'},
  {'duration': 3.4, 'start': 303.84, 'text': '파워가 좋아지고 데이터 사이즈도'},
  {'duration': 3.799, 'start': 305.68, 'text': '늘리고 뭐 파라비터도 늘리고 하다'},
  {'duration': 3.6, 'start': 307.24, 'text': '보면 AI가 점점 좋아지는 법칙이'},
  {'duration': 3.641, 'start': 309.479, 'text': '아직도 통하고 있다고 합니다.'},
  {'duration': 3.799, 'start': 310.84, 'text': '엔트로픽의 공동 창업자 벤만 님을'},
  {'duration': 3.44, 'start': 313.12, 'text': '조코딩 채널에 모셔 가지고 이때'},
  {'duration': 3.761, 'start': 314.639, 'text': '스케일링의 법칙은 여전히 성립하고'},
  {'duration': 3.72, 'start': 316.56, 'text': '있다. 내부적으로 둔화되는 증후가'},
  {'duration': 4.0, 'start': 318.4, 'text': '전혀 보이고 있지 않다라고 합니다.'},
  {'duration': 4.199, 'start': 320.28, 'text': '특히이 엔트로픽은 아마 개발자분들은'},
  {'duration': 4.239, 'start': 322.4, 'text': '거의 다 쓰시는 클로드 코드를 만드신'},
  {'duration': 4.0, 'start': 324.479, 'text': '이런 어마어마한 기업인데네 스케일링'},
  {'duration': 3.961, 'start': 326.639, 'text': '법칙이 깨졌다고 하는 거는 클래식'},
  {'duration': 4.361, 'start': 328.479, 'text': '미디어 띵이다. 그냥 미디어에서 클릭'},
  {'duration': 3.84, 'start': 330.6, 'text': '얻으려고 하는 조회수 파리용이다라는'},
  {'duration': 3.84, 'start': 332.84, 'text': '얘기까지 하셨어요. 그 정도로 이제'},
  {'duration': 3.96, 'start': 334.44, 'text': '스케링 법칙 AI가 계속 발전할'},
  {'duration': 3.519, 'start': 336.68, 'text': '거라는 건 너무나 명확하죠. 그러다'},
  {'duration': 3.639, 'start': 338.4, 'text': '보니까 이제 코딩이 너무 쉬워졌어요.'},
  {'duration': 3.56, 'start': 340.199, 'text': '네. 이제는 바이브 코딩의 시대가'},
  {'duration': 3.88, 'start': 342.039, 'text': '됐습니다. 바이브 코딩이라 생성형'},
  {'duration': 3.801, 'start': 343.759, 'text': 'AI 인공지능으로 코딩을 시켜 가지고'},
  {'duration': 4.28, 'start': 345.919, 'text': '엄밀한 논리 설계를 바탕으로 하지'},
  {'duration': 4.4, 'start': 347.56, 'text': '않고 직관과 느낌에 의존한다는 의미'},
  {'duration': 3.481, 'start': 350.199, 'text': '즉 느낌대로 코딩하는 시대가'},
  {'duration': 3.56, 'start': 351.96, 'text': '됐습니다. 그래서 이런 바이브 코딩'},
  {'duration': 3.92, 'start': 353.68, 'text': '전용 툴도 있습니다. 이런 서비스들이'},
  {'duration': 4.04, 'start': 355.52, 'text': '그냥 딸깍하면은 AI가 원하는 대로'},
  {'duration': 3.56, 'start': 357.6, 'text': '내 웹사이트 앱 이런 걸 만들어 주는'},
  {'duration': 3.04, 'start': 359.56, 'text': '서비스인데 요런 것들이 어마어마하게'},
  {'duration': 3.879, 'start': 361.16, 'text': '많이 탄생을 하게 됐습니다. 그'},
  {'duration': 4.08, 'start': 362.6, 'text': '정도로 모든 개발자들이 다 그냥'},
  {'duration': 3.44, 'start': 365.039, 'text': '딸깍딸깍으로 코딩을 하고 있습니다.'},
  {'duration': 3.48, 'start': 366.68, 'text': '이제는 AI 안 쓰는 코딩은 이제'},
  {'duration': 3.361, 'start': 368.479, 'text': '말도 안 돼요. 그래서 이런 거 기사'},
  {'duration': 3.92, 'start': 370.16, 'text': '많이 보셨죠? 개발자 10명 중'},
  {'duration': 3.919, 'start': 371.84, 'text': '아홉명 생성형 AI 대체 가능하다.'},
  {'duration': 3.2, 'start': 374.08, 'text': 'AI가 더 코딩을 잘한다. 엄청 많이'},
  {'duration': 3.081, 'start': 375.759, 'text': '들어보셨을 것 같습니다. 진짜 놀라운'},
  {'duration': 3.72, 'start': 377.28, 'text': '사건으로 이런 것도 있었습니다. 이제'},
  {'duration': 3.799, 'start': 378.84, 'text': '미국의 스탠포드 대학교에서 코딩 수업'},
  {'duration': 3.56, 'start': 381.0, 'text': '강의인데 이제 새로운 패러다임이'},
  {'duration': 3.881, 'start': 382.639, 'text': '왔다고 하면서 코딩을 배우는게 아니라'},
  {'duration': 3.639, 'start': 384.56, 'text': 'AI로 제품을 만드는 이런 강의를'},
  {'duration': 3.679, 'start': 386.52, 'text': '스탠포드 대학교에서도 런칭을'},
  {'duration': 3.961, 'start': 388.199, 'text': '했습니다. 이제 대학교에서도 AI 써'},
  {'duration': 3.321, 'start': 390.199, 'text': '가지고 제품을 만드는 거 요런 거를'},
  {'duration': 2.92, 'start': 392.16, 'text': '만들고 있습니다. 그래서이 정도로'},
  {'duration': 2.88, 'start': 393.52, 'text': '이제 많이 변했다. 그리고 또'},
  {'duration': 3.28, 'start': 395.08, 'text': '대표적인 사례 중에 스택'},
  {'duration': 3.84, 'start': 396.4, 'text': '오버플로우라고 네이버 지식인 이런'},
  {'duration': 3.52, 'start': 398.36, 'text': '것처럼 개발 관련해서 막히는게 있으면'},
  {'duration': 2.88, 'start': 400.24, 'text': '이거 오류 어떻게 해결해요? 하면 막'},
  {'duration': 3.12, 'start': 401.88, 'text': '천재들이 답변해 주고 요런'},
  {'duration': 3.88, 'start': 403.12, 'text': '서비스였는데 뭔가 막히는게 있다 하면'},
  {'duration': 3.8, 'start': 405.0, 'text': '스택 플로우 와 가지고 나랑 똑같은'},
  {'duration': 3.68, 'start': 407.0, 'text': '문제 겪은 사람 있나 찾아보면서'},
  {'duration': 3.239, 'start': 408.8, 'text': '답변을 복사해 가지고 쓰고 그래서 민'},
  {'duration': 2.72, 'start': 410.68, 'text': '중에 이런 것도 있었습니다. 코딩을'},
  {'duration': 3.16, 'start': 412.039, 'text': '하려고 하면 그냥 스택 오브 플로우'},
  {'duration': 3.76, 'start': 413.4, 'text': '들어가서 컨트롤 C 컨트롤 V만'},
  {'duration': 3.68, 'start': 415.199, 'text': '하면은 모든 코드가 완성되기 때문에'},
  {'duration': 2.879, 'start': 417.16, 'text': '복사 붙여 넣기만 해서 코딩을 다 할'},
  {'duration': 3.641, 'start': 418.879, 'text': '수 있다. 요런 걸로도 되게'},
  {'duration': 4.241, 'start': 420.039, 'text': '유명했었는데 이제는 AI 때문에 복사'},
  {'duration': 4.04, 'start': 422.52, 'text': '붙여 넣기 마저 필요가 없어졌습니다.'},
  {'duration': 3.56, 'start': 424.28, 'text': '이제는 찾아서 복사 붙여 넣기 하는게'},
  {'duration': 3.039, 'start': 426.56, 'text': '너무 큰 일이에요. 이제는'},
  {'duration': 3.56, 'start': 427.84, 'text': '스테오플로우 망했습니다. 채치'},
  {'duration': 3.6, 'start': 429.599, 'text': '런칭하고 빠르게 하락하는 모습을'},
  {'duration': 3.04, 'start': 431.4, 'text': '보여주고 있죠. 그래서 예전 미매'},
  {'duration': 3.601, 'start': 433.199, 'text': '이런게 있었거든요. 옛날'},
  {'duration': 4.36, 'start': 434.44, 'text': '프로그래머들은 뭐 아폴로 미션 코드를'},
  {'duration': 4.36, 'start': 436.8, 'text': '엄청나게 효율적으로 코딩을 해 가지고'},
  {'duration': 4.239, 'start': 438.8, 'text': '50k바로 만들었다 막 이런 옛날에'},
  {'duration': 4.0, 'start': 441.16, 'text': '대단한 프로그래머들에 대한 칭찬과'},
  {'duration': 3.6, 'start': 443.039, 'text': '함께 요즘 프로그래머들은 헬로월드'},
  {'duration': 3.24, 'start': 445.16, 'text': '이런 거 만드는데도 스택 오버'},
  {'duration': 3.321, 'start': 446.639, 'text': '플로우에서 검색이나 하고 말이야.'},
  {'duration': 3.079, 'start': 448.4, 'text': '어, 너무 비율적으로 했다. 그런'},
  {'duration': 4.04, 'start': 449.96, 'text': '미이 있었거든요. 예전에. 이제는'},
  {'duration': 4.0, 'start': 451.479, 'text': '스택오버 플로우에서 헬로월드가 어떻게'},
  {'duration': 3.68, 'start': 454.0, 'text': '하는지 찾는 거. 이런게 오히려'},
  {'duration': 3.881, 'start': 455.479, 'text': '대단한 프로그래머고 요즘 개발자들은'},
  {'duration': 3.44, 'start': 457.68, 'text': '그냥 이거 켜 놓고 아, 이거 만들어'},
  {'duration': 3.399, 'start': 459.36, 'text': '줘, 딸깍. 이거 만들어 줘. 딸깍만'},
  {'duration': 3.639, 'start': 461.12, 'text': '하면은 다 코딩이 되기 때문에'},
  {'duration': 4.081, 'start': 462.759, 'text': '이것마저도 어마어마한 시대가'},
  {'duration': 3.761, 'start': 464.759, 'text': '됐습니다. 그래서 진짜 이제는 코딩이'},
  {'duration': 3.68, 'start': 466.84, 'text': '너무 쉬워졌다. 누구나 배울 수 있는'},
  {'duration': 3.519, 'start': 468.52, 'text': '쉬운 코딩 채널. 이게 조코딩 채널의'},
  {'duration': 2.799, 'start': 470.52, 'text': '슬로건이었거든요. 근데 이제 그'},
  {'duration': 2.84, 'start': 472.039, 'text': '시대가 왔습니다. 그래서 의지만'},
  {'duration': 3.28, 'start': 473.319, 'text': '있으면 모든 걸 만들 수 있는 그런'},
  {'duration': 3.641, 'start': 474.879, 'text': '시대가 됐습니다. 그래서 오늘날'},
  {'duration': 3.6, 'start': 476.599, 'text': '개발자요 정도만 하면 되니까 같이'},
  {'duration': 3.48, 'start': 478.52, 'text': '오늘 수업 들으시면서 어떤 걸'},
  {'duration': 3.361, 'start': 480.199, 'text': '만들어야 되는지 용기를 가지시면서'},
  {'duration': 3.8, 'start': 482.0, 'text': '같이 진행해 보면 좋을 것 같습니다.'},
  {'duration': 4.12, 'start': 483.56, 'text': '코딩은 너무나 쉬워졌고요. 같이 있는'},
  {'duration': 3.76, 'start': 485.8, 'text': '제품을 만들어야 되는 그런 시대가'},
  {'duration': 3.72, 'start': 487.68, 'text': '됐습니다. 고객이 좋아하고 고객이'},
  {'duration': 3.44, 'start': 489.56, 'text': '가치를 느끼고 고객이 돈을 낼 만한'},
  {'duration': 3.199, 'start': 491.4, 'text': '그런 제품을 만들어야 사실 의미가'},
  {'duration': 3.36, 'start': 493.0, 'text': '있잖아요. 가치 있는 제품을 만드는'},
  {'duration': 3.641, 'start': 494.599, 'text': '일이 너무나 중요해졌다. 그런 말씀을'},
  {'duration': 3.279, 'start': 496.36, 'text': '드립니다. 그리고 이게 코딩만 쉬워진'},
  {'duration': 2.959, 'start': 498.24, 'text': '것도 아닙니다. 디자인 이런 것도'},
  {'duration': 3.601, 'start': 499.639, 'text': '되게 쉬워졌거든요. 스티치라고'},
  {'duration': 3.68, 'start': 501.199, 'text': '구글에서 만든 AI 디자인 도구가'},
  {'duration': 3.76, 'start': 503.24, 'text': '있는데 앱 화면 같은 거 있잖아요.'},
  {'duration': 3.921, 'start': 504.879, 'text': '뭘로 만들어 줘라고 하면은 디자인도'},
  {'duration': 3.639, 'start': 507.0, 'text': '알아서 따르락 하면서 AI가 그냥'},
  {'duration': 3.479, 'start': 508.8, 'text': '만들어 줍니다. UIUX 디자인도'},
  {'duration': 3.041, 'start': 510.639, 'text': 'AI가 해 주는 시대이기 때문에'},
  {'duration': 3.12, 'start': 512.279, 'text': '추워졌다고 할 수가 있겠고요.'},
  {'duration': 3.44, 'start': 513.68, 'text': 'UIUX 디자인뿐만 아니죠. 요즘에'},
  {'duration': 3.44, 'start': 515.399, 'text': '뭐 나노바나 이미지도 워낙에 잘'},
  {'duration': 3.56, 'start': 517.12, 'text': '만들어 냅니다. 최근에 구글 엔티'},
  {'duration': 3.64, 'start': 518.839, 'text': '그래비티라고 이제 코딩 개발 툴이랑도'},
  {'duration': 3.599, 'start': 520.68, 'text': '결합돼 가지고 더 좋아졌거든요. 뭐'},
  {'duration': 4.281, 'start': 522.479, 'text': '게임 만든다 하면은 게임에 필요한'},
  {'duration': 3.961, 'start': 524.279, 'text': '요런 에셋을 이거를 직접 만들어 써야'},
  {'duration': 3.56, 'start': 526.76, 'text': '됐습니다. 근데 이제는 데미나의'},
  {'duration': 4.52, 'start': 528.24, 'text': '나노바나 프로가 게임에 필요한 요런'},
  {'duration': 3.8, 'start': 530.32, 'text': '에세트들을 직접 알아서 그냥 자동으로'},
  {'duration': 3.04, 'start': 532.76, 'text': '만들어 냅니다. 네. 그렇기 때문에'},
  {'duration': 4.0, 'start': 534.12, 'text': '이제 모든 분야가 쉬워지고 있습니다.'},
  {'duration': 3.64, 'start': 535.8, 'text': '그래서 IT 프로덕을 만든다라고 하면'},
  {'duration': 3.56, 'start': 538.12, 'text': '팀이 이런 식으로 돼 있잖아요. 뭐'},
  {'duration': 4.32, 'start': 539.44, 'text': '기획하는 팀 있고 개발하는 팀이 있고'},
  {'duration': 3.719, 'start': 541.68, 'text': '이걸 마케팅하는 팀이 있고 수익화하는'},
  {'duration': 3.759, 'start': 543.76, 'text': '팀도 있고 데이터 분석하는 팀도'},
  {'duration': 4.761, 'start': 545.399, 'text': '있고이 성장시키는 팀도 있고 한데'},
  {'duration': 4.521, 'start': 547.519, 'text': '사실 이게 모두 다 AI가 수행하면서'},
  {'duration': 3.119, 'start': 550.16, 'text': 'IT 프로덕 팀이 한 명이 모두 할'},
  {'duration': 2.799, 'start': 552.04, 'text': '수 있는 시대가 됐습니다. 그래서'},
  {'duration': 3.12, 'start': 553.279, 'text': '이제 모든 직업의 경계에 싹'},
  {'duration': 3.44, 'start': 554.839, 'text': '무너집니다. 그래서 한 사람이 사실'},
  {'duration': 3.68, 'start': 556.399, 'text': '모든 거를 할 수가 있는 그런 시대가'},
